Ime,Regija,Sektor,Sistem,Prebivalstvo
Pergoomi,Outer Rim Territories,Albarrio sector,Mygeeto system,Unknown
Perimako Major,Unknown,Unknown,Unknown,Unknown
Persis IX,Expansion Region,Unknown,Unknown,Grindalids
Petrusia,Expansion Region,Unknown,Unknown,Petrusians
Phateem,Inner Rim Territories,Nouane sector,Unknown,Unknown
Phatrong,Outer Rim Territories,Unknown,Unknown,Kyuzos
Pheryon,Inner Rim Territories,Unknown,Unknown,Unknown
Philaxia,Unknown,Unknown,Unknown,Unknown
Phindar,Outer Rim Territories,Mandalore sector,Phindar system,Phindians
Phorsa Gedd,Mid Rim Territories,Unknown,Unknown,Unknown
Pii,Unknown,Unknown,Pii system,Unknown
Pijal,Inner Rim Territories,Unknown,Pijal system,Humans
Pillio,Core Worlds,Unknown,Jinata system,Unknown
Pion,Wild Space,Unknown,Pion system,Unknown
Pipada,Outer Rim Territories,Unknown,Unknown,Drabatans
Pippip 3,Outer Rim Territories,Unknown,Unknown,Unknown
Pipyyr,Unknown,Unknown,Unknown,Pipyyrian
Pkori,Wild Space,Unknown,Unknown,Pkorian
Planet X,Wild Space,Unknown,Unknown,Unknown
Plazir-15,Outer Rim Territories,Unknown,Unknown,Various
Pleknok,Unknown Regions,Unknown,Pleknok system,Unknown
Plexis,Core Worlds,Unknown,Unknown,Unknown
Plin Minor,Unknown,Unknown,Unknown,Plinovians
Polaar,Unknown,Aubreeyan Cluster,Polaar system,Unknown
Polis Massa,Outer Rim Territories,Subterrel sector,Polis Massa system,"Eellayin,Kallidahins"
Pollillus,Unknown,Unknown,Unknown,Troig
Polmanar,Outer Rim Territories,Anoat sector,Unknown,Unknown
Polyneus,Inner Rim Territories,Unknown,Unknown,Humans(Polynean)
Ponemah Terminal,Outer Rim Territories,Unknown,Unknown,Unknown
Pothor,Mid Rim Territories,Unknown,Unknown,Unknown
Prefsbelt IV,Outer Rim Territories,Unknown,Unknown,Unknown
Pria,Unknown,Unknown,Unknown,Unknown
Primea,Unknown Regions,Unknown,Primea system,Vak
Protobranch,Core Worlds,Unknown,Protobranch system,Bivall
Pujool,Outer Rim Territories,Anoat sector,Anoat system,Unknown
Pyra,Unknown,Unknown,Unknown,Unknown
Pzandias,Mid Rim Territories,Bryx sector,Unknown,Unknown
Qhulosk,Outer Rim Territories,Unknown,Unknown,Qhuloskians
Qualai,Outer Rim Territories,Unknown,Unknown,Unknown
Quarmendy,Mid Rim Territories,Unknown,Unknown,Humans
Quarzite,Inner Rim Territories,Unknown,Quarzite system,"Belugans,Kage"
Quell,Outer Rim Territories,Unknown,Quell system,Unknown
Quermia,Outer Rim Territories,Unknown,Unknown,Quermians
Ques,Hutt Space,Unknown,Unknown,Humans
Quila,Unknown,Unknown,Unknown,Unknown
Quintil,Outer Rim Territories,Unknown,Unknown,Unknown
Raddan,Unknown,Unknown,Unknown,Unknown
Radhii,Unknown,Unknown,Unknown,"Cereans,Humans"
Raithal,Colonies,Unknown,Unknown,Unknown
Rajtiri,Expansion Region,Unknown,Unknown,Unknown
Rakata Prime,Unknown Regions,Unknown,Unknown,Unknown
Ralltiir,Core Worlds,Unknown,Unknown,Humans
Rango Tan,Unknown,Unknown,Unknown,Rangans
Rapacc,Unknown Regions,Unknown,Rapacc system,Paccosh
Rattatak,Outer Rim Territories,Unknown,Unknown,Various
Raxus Prime,Outer Rim Territories,Tion Hegemony,Raxus system,Unknown
Raxus Secundus,Outer Rim Territories,Tion Hegemony,Raxus system,Various
Raydonia,Outer Rim Territories,Unknown,Unknown,Humans
Raysho,Core Worlds,Unknown,Hosnian system,Unknown
Reamma,Outer Rim Territories,Unknown,Unknown,Unknown
Reerez,Outer Rim Territories,Albarrio sector,Mygeeto system,Unknown
Refnu,Outer Rim Territories,Unknown,Refnu system,Nefrians
Rekkana,Unknown,Unknown,Unknown,Rekk
Rendel,Unknown,Unknown,Kiva system,Unknown
Rendili,Core Worlds,Unknown,Unknown,Unknown
Rentor,Unknown Regions,Unknown,Unknown,Unknown
Retta,Wild Space,Unknown,Unknown,Unknown
Rhen Var,Outer Rim Territories,Unknown,Unknown,Unknown
Rhigar,Unknown Regions,Unknown,Rhigal system,Chiss
Rhinnal,Unknown,Unknown,Unknown,Unknown
Ridlay,Unknown,Unknown,Unknown,Unknown
Riflor,Mid Rim Territories,Unknown,Unknown,Advozse
Rina Major,Outer Rim Territories,Unknown,Unknown,Blarina
Ringo Vinda,Mid Rim Territories,Unknown,Unknown,Humans
Rinn,Outer Rim Territories,Unknown,Unknown,Humans
Rion,Outer Rim Territories,Unknown,Unknown,Unknown
Rior,Unknown,Unknown,Unknown,Unknown
Riosa,Inner Rim Territories,Unknown,Unknown,Unknown
Rishi,Outer Rim Territories,Abrion sector,Rishi system,Unknown
Risso,Expansion Region,Unknown,Unknown,Unknown
Rodia,Outer Rim Territories,Savareen sector,Tyrius system,Rodians
Rohm,Unknown,Unknown,Unknown,Unknown
Ronika,Deep Core,Koros sector,Empress Teta system,Unknown
Routh,Unknown,Unknown,Unknown,Unknown
Rumitaka,Outer Rim Territories,Unknown,Five Points system,Unknown
Ruoss Minor,Unknown,Unknown,Unknown,Unknown
Rushan IX,Unknown,Unknown,Unknown,Trawaki
Ruusan,Mid Rim Territories,Teraab sector,Ruusan system,Ruusanian
Rylorii Minor,Western Reaches,Unknown,Unknown,Unknown
Ryloth,Outer Rim Territories,Gaulus sector,Ryloth system,Twi'leks
Rystan,Outer Rim Territories,Unknown,Unknown,Unknown
Safrifa,Outer Rim Territories,Unknown,Unknown,Safrifans
Sakavi Tar,Unknown,Unknown,Unknown,Sakavians
Saki,Outer Rim Territories,Unknown,Unknown,Sakiyans
Saleucami,Outer Rim Territories,Suolriep sector,Saleucami system,"Humans,Twi'leks"
Salient I,Outer Rim Territories,Corporate Sector,Salient system,Various
Salient II,Outer Rim Territories,Corporate Sector,Salient system,Various
Salliche,Core Worlds,Unknown,Unknown,Sallichens
Sammun,Outer Rim Territories,Batonn sector,Unknown,Unknown
Samovar,Western Reaches,Unknown,Unknown,Unknown
Sanjin,Unknown,Unknown,Unknown,Unknown
Sarka,Mid Rim Territories,Unknown,Unknown,Sarkans
Sarrish,Outer Rim Territories,Unknown,Unknown,Unknown
Sarvchi,Unknown Regions,Chiss Ascendancy's southeast sectors,Sarvchi system,Unknown
Sason,Outer Rim Territories,Unknown,Unknown,Unknown
Satotai,Outer Rim Territories,Unknown,Five Points system,Unknown
Savareen,Outer Rim Territories,Savareen sector,Savareen system,Humans(Savarian)
Scarif,Outer Rim Territories,Abrion sector,Scarif system,Humans
Schesa,Unknown Regions,Unknown,Unknown,Unknown
Scipio,Outer Rim Territories,Albarrio sector,Albarrio system,"Humans,Muuns"
Seatos,Unknown,Unknown,Denab system,Unknown
Secundus Ando,Mid Rim Territories,Unknown,Unknown,Harch
Sedri,Outer Rim Territories,Periphery,Sedri system,Unknown
Sedri Minor,Outer Rim Territories,Periphery,Sedri system,Various
Seelos,Outer Rim Territories,Kwymar sector,Seelos system,Humans(clones)
Segra Milo,Unknown,Unknown,Unknown,Unknown
Selonia,Core Worlds,Corellian sector,Corellia system,Selonians
Sembla,Outer Rim Territories,Mahrusha sector,Unknown,Vurk
Serelia,Mid Rim Territories,Unknown,Unknown,Unknown
Serenno,Outer Rim Territories,D'Astan sector,Serenno system,Humans(Serennian)
Sergia,Inner Rim Territories,Unknown,Unknown,Unknown
Serolonis,Unknown,Unknown,Unknown,Unknown
Serralonis,Unknown,Unknown,Unknown,Unknown
Sesid,Outer Rim Territories,Corva sector,Sesid system,Draedans
Setor,Unknown,Unknown,Unknown,Unknown
Sevarcos,Outer Rim Territories,Unknown,Unknown,Unknown
Seylott,Outer Rim Territories,Unknown,Unknown,Unknown
Sha Qarot,Deep Core,Unknown,Sha Qarot system,Unknown
Shadda-Bi-Boran,Outer Rim Territories,Unknown,Unknown,Unknown
Shantipole,Mid Rim Territories,Unknown,Unknown,Mon Calamari
Shihon,Unknown Regions,Unknown,Unknown,Unknown
Shili,Expansion Region,Unknown,Shili system,Togruta
Shownar,Unknown,Unknown,Unknown,Unknown
Shuraden,Outer Rim Territories,Unknown,Unknown,Ximpi
Shu-Torun,Mid Rim Territories,Unknown,Unknown,Humans
Sibensko,Expansion Region,Unknown,Unknown,"Humans,Nikto"
Silla,Unknown,Unknown,Unknown,Unknown
Sirpar,Unknown,Unknown,Unknown,Humans
Sissubo,Core Worlds,Bormea sector,Chandrila system,Unknown
Skako,Core Worlds,Unknown,Unknown,Skakoans
Skako Minor,Unknown,Unknown,Unknown,"Poletecs,Skakoans"
Skaradosh,Inner Rim Territories,Unknown,Unknown,Unknown
Skara Nal,Unknown,Unknown,Kaldar Trinary system,Unknown
Skorii-Lei,Unknown,Unknown,Unknown,Humans
Skuhl,Outer Rim Territories,Unknown,Unknown,Unknown
Skye,Outer Rim Territories,Unknown,Unknown,Unknown
Sleheyron,Hutt Space,Unknown,Unknown,Unknown
Soika,Unknown,Unknown,Unknown,Soikans
Solitair,Unknown Regions,Unknown,Unknown,Garwians
Son-tuul,Outer Rim Territories,Albarrio sector,Unknown,Various
Sorgal 12,Unknown,Unknown,Unknown,Unknown
Sorgan,Outer Rim Territories,Unknown,Unknown,Unknown
Spalex,Outer Rim Territories,Dantus sector,Unknown,Unidentified species
Spintir,Unknown,Unknown,Unknown,Unknown
Spira,Core Worlds,Unknown,Unknown,Unknown
Sposia,Unknown,Unknown,Unknown,Chiss
Sran,Outer Rim Territories,Ash Worlds,Unknown,Unknown
Sriluur,Outer Rim Territories,Unknown,Unknown,Weequays
Sterdic IV,Unknown,Unknown,Unknown,Unidentified species
Stewjon,Unknown,Unknown,Unknown,Unknown
Stivic,Unknown Regions,Unknown,Unknown,Garwians
Stobar,Outer Rim Territories,Unknown,Unknown,Unknown
Strokill Prime,Outer Rim Territories,Unknown,Unknown,Unknown
Sturg Ganna's homeworld,Unknown,Unknown,Unknown,Whippomorn
Stygeon Prime,Outer Rim Territories,Nuiri sector,Stygeon system,Unknown
Suba,Unknown,Unknown,Unknown,Unknown
Subterrel,Outer Rim Territories,Unknown,Unknown,Unknown
Sullust,Outer Rim Territories,Sullust sector,Sullust system,Sullustans
Sump,Outer Rim Territories,Unknown,Unknown,Nuknog
Sunrise,Unknown Regions,Unknown,Sunrise system,The Magys's people
Sy Myrth,Outer Rim Territories,Unknown,Unknown,Unknown
Synjax,Unknown,Unknown,Unknown,Unknown
Taanab,Inner Rim Territories,Unknown,Taanab system,Unknown
Tah'Nuhna,Mid Rim Territories,Unknown,Unknown,Tah'Nuhna
Tais Brabbo,Unknown,Unknown,Unknown,Unknown
Takobo,Outer Rim Territories,Unknown,Unknown,Ithorians
Takodana,Mid Rim Territories,Tashtor sector,Takodana system,Unknown
Taloraan,Unknown,Unknown,Unknown,Unknown
Talus,Core Worlds,Corellian sector,Corellia system,Unknown
Tammuz-an,Outer Rim Territories,Unknown,Unknown,Unknown
Tamsye Prime,Outer Rim Territories,Unknown,Tamsye Prime system,Unknown
Tanalorr,Galactic Frontier,Unknown,Koboh system,Unknown
Tangenine,Core Worlds,Unknown,Unknown,Unknown
Tansyl 5,Mid Rim Territories,Unknown,Unknown,Frigosian
Taris,Outer Rim Territories,Unknown,Taris system,"Humans,Kubaz"
Tarsunt,Mid Rim Territories,Bothan Space,Tarsunt system,Tarsunts
Tatooine,Outer Rim Territories,Arkanis sector,Tatoo system,"Jawas,Tusken Raiders,Various"
Taul,Outer Rim Territories,Unknown,Unknown,Unknown
Taw Provode,Unknown,Unknown,Taw Provode system,Unknown
Tehar,Outer Rim Territories,Unknown,Unknown,Humans
Tei-Untis,Unknown,Unknown,Unknown,Zabraks
Telerath,Inner Rim Territories,Nouane sector,Telerath system,Various
Temako,Outer Rim Territories,Unknown,Unknown,Unknown
Tenoo,Outer Rim Territories,Tenoo's sector,Unknown,Unknown
Tepasi,Core Worlds,Unknown,Unknown,Humans
Teralov,Unknown,Unknown,Unknown,Unknown
Teth,Wild Space,Baxel sector,Teth system,Hutts
Tevel,Outer Rim Territories,Unknown,Unknown,Tevellans
Thabeska,Outer Rim Territories,Unknown,Thabeska system,Unknown
Tharnaka,Unknown,Unknown,Unknown,Tharnakan
Thelj,Unknown,Unknown,Unknown,Unknown
Therezar,Unknown,Unknown,Therezar system,Unknown
Theron,Unknown,Unknown,Theron system,Unknown
Thisspias,Expansion Region,Unknown,Unknown,Thisspiasians
Tholoth,Colonies,Unknown,Tholoth system,Tholothians
Thorat IX,Outer Rim Territories,Unknown,Unknown,Unknown
Thrad,Unknown,Unknown,Unknown,Thradians
Throffdon,Inner Rim Territories,Unknown,Throffdon system,Unknown
Thule,Outer Rim Territories,Esstran sector,Thurra system,Unknown
Thunder,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Thune,Wild Space,Unknown,Unknown,Various
Thustra,Expansion Region,Unknown,Thustra system,Unknown
Thyferra,Inner Rim Territories,Unknown,Unknown,Vratix
Tibrin,Mid Rim Territories,Hadar sector,Unknown,Ishi Tib
Tierfon,Expansion Region,Unknown,Unknown,Unknown
Tiferep Major,Mid Rim Territories,Unknown,Unknown,Unknown
Tiikae,Unknown,Unknown,Unknown,Various
Tinnel IV,Core Worlds,Unknown,Unknown,Humans
Tinoon,Outer Rim Territories,Anoat sector,Unknown,Unknown
Tish,Unknown,Unknown,Unknown,Unknown
Tokmia,Outer Rim Territories,Anoat sector,Unknown,Unknown
Toledian,Mid Rim Territories,Unknown,Unknown,Unknown
Toola,Outer Rim Territories,Unknown,Unknown,Whiphids
Toprawa,Outer Rim Territories,Unknown,Unknown,Unknown
Torrenoteer Minor,Unknown,Unknown,Torrenoteer system,Unknown
Touksingal,Unknown,Unknown,Unknown,Unknown
Toydaria,Mid Rim Territories,Hutt Space,Toydaria system,Toydarians
Tralus,Core Worlds,Corellian sector,Corellia system,Unknown
Trandosha,Mid Rim Territories,Mytaranor sector,Kashyyyk system,Trandoshans
Trasse,Mid Rim Territories,Unknown,Unknown,Unknown
Triffis,Mid Rim Territories,Unknown,Unknown,Unknown
Trionak,Outer Rim Territories,"Kiax Nebula,Anoat sector",Unknown,Unknown
Trivar II,Outer Rim Territories,Unknown,Unknown,Unknown
Troiken,Outer Rim Territories,Unknown,Unknown,Xexto
Troithe,Deep Core,Unknown,Cerberon system,Unknown
Trymant IV,Outer Rim Territories,Unknown,Trymant system,Various
Tsevuka,Outer Rim Territories,Unknown,Unknown,Tsevukans
Tund,Outer Rim Territories,Centrality,Tund system,Toongs
Tunguray,Unknown,Unknown,Unknown,Tunguray
Tureen VII,Outer Rim Territories,Unknown,Unknown,Unknown
Turkana,Outer Rim Territories,Unknown,Unknown,Unknown
Turrak,Outer Rim Territories,Unknown,Sevarcos system,Scalvi
Twon Ketee,Unknown,Unknown,Unknown,Unknown
Tyegin,Unknown,Unknown,Unknown,Various
Tynna,Expansion Region,Unknown,Unknown,Tynnans
Tython,Deep Core,Unknown,Tython system,Unknown
Uba IV,Mid Rim Territories,Barsa sector,Uba system,Ubese
Ubardia,Colonies,Unknown,Unknown,Humans
Uchinao,Outer Rim Territories,Unknown,Five Points system,Unknown
Ukio,Outer Rim Territories,Abrion sector,Unknown,Ukians
Umbara,Expansion Region,Ghost Nebula sector,Umbara system,Umbarans
Umme,Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified agricultural planet,Unknown,Unknown,Unknown,Unknown
Unidentified backwater icy planet,Unknown,Unknown,Unknown,Unknown
Unidentified city planet,Unknown,Unknown,Unknown,Unknown
Unidentified desert planet,Unknown,Unknown,Unknown,Unknown
Unidentified forest planet,Unknown,Unknown,Unknown,Unknown
Unidentified Gank homeworld,Outer Rim Territories,Hutt Space,Unknown,Ganks
Unidentified gas giant (Sentinel Base),Outer Rim Territories,Arkanis sector,Sentinel Base system,Unknown
Unidentified green planet,Unknown,Unknown,Unknown,Unknown
Unidentified jungle planet,Unknown,Unknown,Unknown,Unknown
Unidentified lava planet,Unknown,Unknown,Unknown,Unknown
Unidentified night world,Unknown,Unknown,Unknown,Unknown
Unidentified ocean planet,Unknown,Unknown,Unknown,Unidentified aquatic species
Unidentified Outer Rim planet (Jenra),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified Outer Rim planet (Jul Jerjerrod),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified Outer Rim planet (Slitherette),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Bylsma),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Cora Vessora),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Dene Gois Cluster),Unknown,Unknown,Dene Gois Cluster,Unknown
Unidentified planet (Dragon Void Run),Unknown,Unknown,Unknown,Unknown
Unidentified planet (droid uprising),Wild Space,Unknown,Unknown,Unknown
Unidentified planet (Eeth Koth),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Emil Graf),Wild Space,Unknown,Unknown,Unknown
Unidentified planet (Faraz),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Freidal),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Han Solo),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Havoc Outpost),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Horizon Base),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Ilum system),Unknown Regions,7G sector,Ilum system,Unknown
Unidentified planet (Jaxxon),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Kanina Nico),Unknown,Unknown,Huru system,Humans
Unidentified planet (Klikklak),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Lexim),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Live islands),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Lupr'or),Unknown,Unknown,Unknown,Lupr'or
Unidentified planet (Magna Tolvan),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (Monsua Nebula),Outer Rim Territories,Moddell sector,Monsua Nebula,Unknown
Unidentified planet (Neijaian),Unknown,Unknown,Unknown,Unidentified species
Unidentified planet (Nes Ukul),Unknown,Unknown,Unknown,Unidentified species
Unidentified planet (Outer Rim Territories),Outer Rim Territories,Unknown,Thabeska system,Unknown
Unidentified planet (Poe Dameron),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Raada),Outer Rim Territories,Unknown,Unknown,Unknown
Unidentified planet (sabacc),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Sunshi system),Unknown,Unknown,Sunshi system,Unknown
Unidentified planet (Tholme and Ventress),Unknown,Unknown,Unknown,Unknown
Unidentified planet (Thrawn's exile),Wild Space,Unknown,Unknown,Unknown
Unidentified purple gas giant,Unknown,Unknown,Unidentified star system,Unknown
Unidentified ringed planet,Unknown,Regani sector,Unknown,Unknown
Unidentified Snee homeworld,Unknown,Unknown,Unknown,Unknown
Unidentified Squamatan homeworld,Unknown,Unknown,Unknown,Squamatans
Unidentified uninhabited volcanic planet,Unknown,Unknown,Unidentified volcanic planet system,Unknown
Uquine,Colonies,Unknown,Unknown,Humans
Urajab,Expansion Region,Unknown,Unknown,Unknown
Urch,Unknown Regions,Unknown,Urch system,Urchiv-ki
Uro,Unknown,Unknown,Unknown,Unidentified arachnid
Ushruu,Expansion Region,Unknown,Unknown,Unknown
Utapau,Outer Rim Territories,Tarabba sector,Utapau system,"Amani,Pau'ans,Sugi,Utai"
Uvena Prime,Outer Rim Territories,Unknown,Uvena system,Shistavanens
Uyter,Mid Rim Territories,Unknown,Unknown,Humans
Vaal,Unknown,Unknown,Unknown,Unknown
Vadran,Unknown,Unknown,Unknown,Unknown
Vagadarr Prime,Unknown,Unknown,Vagadarr system,Unknown
Valahari,Unknown,Unknown,Unknown,Unknown
Vallt,Outer Rim Territories,Unknown,Unknown,Valltii
Valo,Outer Rim Territories,Rseik sector,Valo system,Various
Valron,Unknown,Unknown,Unknown,Unknown
Valtos,Unknown,Unknown,Unknown,Unknown
Vandor,Mid Rim Territories,Sloo sector,Unknown,Unknown
Vanqor,Outer Rim Territories,Unknown,Vanqor system,Unknown
Vardos,Core Worlds,Unknown,Jinata system,"Aqualish,Humans"
Varkana,Outer Rim Territories,Unknown,Varkana system,Unknown
Varnak,Mid Rim Territories,Unknown,Unknown,Unknown
Var-Shaa,Mid Rim Territories,Unknown,Unknown,Unknown
Vashka,Outer Rim Territories,Unknown,Unknown,Unknown
Vassek,Outer Rim Territories,Wazta sector,Vassek system,Unknown
Vavarna,Unknown,Unknown,Unknown,Unknown
Velusia,Unknown,Unknown,Velusia system,Velusians
Vendaxa,Expansion Region,Unknown,Unknown,Unknown
Vernid,Outer Rim Territories,Unknown,Unknown,Unknown
Veros,Unknown,Unknown,Unknown,Verosians
Vertseth,Unknown,Unknown,Unknown,Unknown
Verzan,Deep Core,Unknown,Cerberon system,Unknown
Vespaara,Outer Rim Territories,Unknown,Unknown,Unknown
Vetine,Inner Rim Territories,Merrick sector,Unknown,Unknown
Viamarr,Unknown,Unknown,Unknown,Unknown
Vincorba,Expansion Region,Unknown,Unknown,Unknown
Vir Aphshire,Unknown,Unknown,Unknown,Unknown
Virujansi,Unknown,Unknown,Unknown,Humans
Vixnix,Mid Rim Territories,Unknown,Unknown,Unknown
Vjun,Outer Rim Territories,Unknown,Unknown,Unknown
Vlemoth Port,Outer Rim Territories,Instrop sector,Vlemoth Port system,Unknown
Vodran,Hutt Space,Si'Klaata Cluster,Unknown,Vodrans
Vorlag,Outer Rim Territories,Unknown,Unknown,Vorlaggn
Vorzyd V,Outer Rim Territories,Vorzyd sector,Unknown,Unknown
Vrant Tarnum,Unknown,Unknown,Stygmarn system,Unknwon
Vrogas Vas,Outer Rim Territories,Unknown,Unknown,Humans
Vulpter,Deep Core,Unknown,Unknown,Unknown
Vurdon Ka,Inner Rim Territories,Unknown,Unknown,Vuvrians
Vyndal,Unknown,Unknown,Unknown,Unidentified species
Wadi Raffa,Outer Rim Territories,Unknown,Unknown,Unknown
Warlentta,Mid Rim Territories,Unknown,Warlentta system,Humans
Watassay,Outer Rim Territories,Unknown,Five Points system,Unknown
Water,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Wecacoe,Colonies,Unknown,Unknown,Various
Weik,Wild Space,Unknown,Weik system,Various
Wellspring of Life,Deep Core,Unknown,Unknown,Midi-chlorians
Weyland,Mid Rim Territories,Unknown,Unknown,Unknown
Whiforla II,Unknown,Unknown,Unknown,Whiforlans
Wick 111,Outer Rim Territories,Unknown,Unknown,Wickwar
Wind,Outer Rim Territories,Oplovis sector,Aakaash system,Unknown
Wobani,Mid Rim Territories,Bryx sector,Wobani system,Humans
Wrea,Outer Rim Territories,Unknown,Unknown,Wreans
Wynkahthu,Mid Rim Territories,Unknown,Unknown,Unknown
Xais,Outer Rim Territories,Rocun Cluster,Unknown,Unknown
Xala,Wild Space,Unknown,Xala system,Unknown
Xendek,Unknown,Unknown,Unknown,Xendekians
Xibariz,Inner Rim Territories,Unknown,Unknown,Unknown
Xirl,Wild Space,Unknown,Unknown,Unknown
Xorrn,Outer Rim Territories,Ferra sector,Xorrn system,Unknown
Yabol Opa,Colonies,Unknown,Unknown,Unknown
Yaga Minor,Outer Rim Territories,Unknown,Unknown,Unknown
Yag'Dhul,Inner Rim Territories,Unknown,Unknown,Givin
Yakorki,Outer Rim Territories,Unknown,Unknown,Unknown
Yamradi,Unknown,Unknown,Unknown,Unknown
Yar Togna,Outer Rim Territories,Unknown,Unknown,Tognath
Yarma,Outer Rim Territories,Unknown,Yarma system,Unknown
Yarrum,Outer Rim Territories,Tenoo's sector,Unknown,Unknown
Yavin Prime,Outer Rim Territories,Gordian Reach,Yavin system,Unknown
Yeksom,Outer Rim Territories,Unknown,Unknown,Unknown
Yerbana,Outer Rim Territories,Savareen sector,Unknown,Unknown
Ylesia,Outer Rim Territories,Unknown,Unknown,Unknown
Yotch,Unknown,Unknown,Unknown,Unknown
Yoturba,Mid Rim Territories,Unknown,Unknown,Unknown
Yout,Unknown,Unknown,Yout system,Unknown
Yungbrii,Mid Rim Territories,Unknown,Opalok system,Humans
Zaadja,Outer Rim Territories,Savareen sector,Unknown,Unknown
Zastiga,Outer Rim Territories,Unknown,Unknown,Unknown
Zav Alox,Unknown,Unknown,Unknown,Aloxian
Zeffo,Outer Rim Territories,Unknown,Zeffo system,Zeffonian
Zeitooine,Inner Rim Territories,Unknown,Unknown,Unknown
Zhanox,Outer Rim Territories,Anoat sector,Zhanox system,Ugnaughts
Zoh,Unknown,Unknown,Unknown,Unknown
Zolan,Mid Rim Territories,Lambda sector,Unknown,Clawdites
Zoph,Outer Rim Territories,Unknown,Unknown,Unknown
Zygerria,Outer Rim Territories,Chorlian sector,Zygerria system,Zygerrians
Zyzar,Unknown,Unknown,Unknown,Unknown
Zyzek,Unknown Regions,Unknown,Zyzek system,Unknown
